quality_target,sample_count,failure_count,mean_point_iou,mean_box_iou,mean_point_quality,mean_box_quality,paired_delta_mean,paired_delta_ci_lower,paired_delta_ci_upper,interpretation
0.9,1449,0,0.8395263223257419,0.8411180126293996,0.8909247757073844,0.8956634918219463,-0.0015916903036576962,-0.004120465084541067,0.0009427415027605258,box_noise_IoU > point_noise_IoU
0.8,1449,0,0.8306004753278122,0.8068253062456866,0.7858868184955141,0.8005423003795721,0.023775169082125604,0.0200614423757764,0.02751319016218082,box_noise_IoU < point_noise_IoU
0.7,1449,0,0.8217189570393375,0.7461645216701174,0.6826086956521739,0.6989283482401656,0.07555443536922016,0.07028664526052451,0.08087664791235334,box_noise_IoU < point_noise_IoU
0.6,1449,0,0.8133067128019323,0.6635939457556936,0.5748447204968944,0.5981166473084886,0.1497127670462388,0.1430248579874051,0.15634306108954452,box_noise_IoU < point_noise_IoU
0.5,1449,0,0.802366922153209,0.569981327225673,0.4697377501725328,0.49817991300897174,0.23238559492753624,0.2245878791994479,0.24017550107919253,box_noise_IoU < point_noise_IoU
