sample_id,class_name,severity,trial,method,iou,dice,device
sample_002,boat,mild,0,sam_oracle_best_prompt,0.616127,0.762473,cuda
sample_002,boat,mild,1,center_color,0.250323,0.400413,cpu
sample_002,boat,mild,1,robust_superpixel,0.250223,0.400285,cpu
sample_002,boat,mild,1,repaired_superpixel,0.250108,0.400138,cpu
sample_002,boat,mild,1,sam_noisy_prompt,0.833645,0.909276,cuda
sample_002,boat,mild,1,sam_repaired_prompt,0.000820,0.001638,cuda
sample_002,boat,mild,1,sam_score_selected_prompt,0.000820,0.001638,cuda
sample_002,boat,mild,1,sam_oracle_best_prompt,0.833645,0.909276,cuda
sample_002,boat,moderate,0,center_color,0.210253,0.347453,cpu
sample_002,boat,moderate,0,robust_superpixel,0.210166,0.347335,cpu
sample_002,boat,moderate,0,repaired_superpixel,0.209957,0.347049,cpu
sample_002,boat,moderate,0,sam_noisy_prompt,0.507266,0.673094,cuda
sample_002,boat,moderate,0,sam_repaired_prompt,0.855312,0.922014,cuda
sample_002,boat,moderate,0,sam_score_selected_prompt,0.507266,0.673094,cuda
sample_002,boat,moderate,0,sam_oracle_best_prompt,0.855312,0.922014,cuda
sample_002,boat,moderate,1,center_color,0.224016,0.366034,cpu
sample_002,boat,moderate,1,robust_superpixel,0.224016,0.366034,cpu
sample_002,boat,moderate,1,repaired_superpixel,0.225199,0.367612,cpu
sample_002,boat,moderate,1,sam_noisy_prompt,0.882445,0.937552,cuda
sample_002,boat,moderate,1,sam_repaired_prompt,0.000000,0.000000,cuda
sample_002,boat,moderate,1,sam_score_selected_prompt,0.000000,0.000000,cuda
sample_002,boat,moderate,1,sam_oracle_best_prompt,0.882445,0.937552,cuda
sample_003,train,clean,0,center_color,0.496248,0.663323,cpu
sample_003,train,clean,0,robust_superpixel,0.592248,0.743914,cpu
sample_003,train,clean,0,repaired_superpixel,0.573949,0.729311,cpu
sample_003,train,clean,0,sam_noisy_prompt,0.951961,0.975390,cuda
sample_003,train,clean,0,sam_repaired_prompt,0.935888,0.966882,cuda
sample_003,train,clean,0,sam_score_selected_prompt,0.951961,0.975390,cuda
sample_003,train,clean,0,sam_oracle_best_prompt,0.951961,0.975390,cuda
sample_003,train,mild,0,center_color,0.636997,0.778251,cpu
sample_003,train,mild,0,robust_superpixel,0.665387,0.799078,cpu
sample_003,train,mild,0,repaired_superpixel,0.557673,0.716033,cpu
sample_003,train,mild,0,sam_noisy_prompt,0.903750,0.949442,cuda
sample_003,train,mild,0,sam_repaired_prompt,0.908681,0.952156,cuda
sample_003,train,mild,0,sam_score_selected_prompt,0.903750,0.949442,cuda
sample_003,train,mild,0,sam_oracle_best_prompt,0.908681,0.952156,cuda
sample_003,train,mild,1,center_color,0.349099,0.517529,cpu
sample_003,train,mild,1,robust_superpixel,0.374761,0.545202,cpu
sample_003,train,mild,1,repaired_superpixel,0.417207,0.588774,cpu
sample_003,train,mild,1,sam_noisy_prompt,0.484857,0.653069,cuda
sample_003,train,mild,1,sam_repaired_prompt,0.452311,0.622884,cuda
sample_003,train,mild,1,sam_score_selected_prompt,0.484857,0.653069,cuda
sample_003,train,mild,1,sam_oracle_best_prompt,0.484857,0.653069,cuda
sample_003,train,moderate,0,center_color,0.466480,0.636190,cpu
sample_003,train,moderate,0,robust_superpixel,0.557602,0.715975,cpu
sample_003,train,moderate,0,repaired_superpixel,0.500145,0.666796,cpu
sample_003,train,moderate,0,sam_noisy_prompt,0.869599,0.930252,cuda
sample_003,train,moderate,0,sam_repaired_prompt,0.865928,0.928147,cuda
sample_003,train,moderate,0,sam_score_selected_prompt,0.865928,0.928147,cuda
sample_003,train,moderate,0,sam_oracle_best_prompt,0.869599,0.930252,cuda
sample_003,train,moderate,1,center_color,0.445454,0.616352,cpu
sample_003,train,moderate,1,robust_superpixel,0.603041,0.752371,cpu
sample_003,train,moderate,1,repaired_superpixel,0.602848,0.752221,cpu
sample_003,train,moderate,1,sam_noisy_prompt,0.797617,0.887416,cuda
sample_003,train,moderate,1,sam_repaired_prompt,0.821464,0.901982,cuda
sample_003,train,moderate,1,sam_score_selected_prompt,0.797617,0.887416,cuda
sample_003,train,moderate,1,sam_oracle_best_prompt,0.821464,0.901982,cuda
sample_004,person,clean,0,center_color,0.392706,0.563947,cpu
sample_004,person,clean,0,robust_superpixel,0.398652,0.570051,cpu
sample_004,person,clean,0,repaired_superpixel,0.439537,0.610665,cpu
sample_004,person,clean,0,sam_noisy_prompt,0.670492,0.802748,cuda
sample_004,person,clean,0,sam_repaired_prompt,0.820739,0.901545,cuda
sample_004,person,clean,0,sam_score_selected_prompt,0.820739,0.901545,cuda
sample_004,person,clean,0,sam_oracle_best_prompt,0.820739,0.901545,cuda
sample_004,person,mild,0,center_color,0.317025,0.481426,cpu
sample_004,person,mild,0,robust_superpixel,0.324895,0.490447,cpu
sample_004,person,mild,0,repaired_superpixel,0.361926,0.531492,cpu
sample_004,person,mild,0,sam_noisy_prompt,0.366567,0.536479,cuda
sample_004,person,mild,0,sam_repaired_prompt,0.017004,0.033438,cuda
sample_004,person,mild,0,sam_score_selected_prompt,0.366567,0.536479,cuda
sample_004,person,mild,0,sam_oracle_best_prompt,0.366567,0.536479,cuda
sample_004,person,mild,1,center_color,0.446012,0.616885,cpu
sample_004,person,mild,1,robust_superpixel,0.451035,0.621673,cpu
sample_004,person,mild,1,repaired_superpixel,0.461576,0.631614,cpu
sample_004,person,mild,1,sam_noisy_prompt,0.651382,0.788893,cuda
sample_004,person,mild,1,sam_repaired_prompt,0.685854,0.813658,cuda
sample_004,person,mild,1,sam_score_selected_prompt,0.651382,0.788893,cuda
sample_004,person,mild,1,sam_oracle_best_prompt,0.685854,0.813658,cuda
sample_004,person,moderate,0,center_color,0.320215,0.485095,cpu
sample_004,person,moderate,0,robust_superpixel,0.371125,0.541344,cpu
sample_004,person,moderate,0,repaired_superpixel,0.414234,0.585807,cpu
sample_004,person,moderate,0,sam_noisy_prompt,0.642114,0.782058,cuda
sample_004,person,moderate,0,sam_repaired_prompt,0.613110,0.760159,cuda
sample_004,person,moderate,0,sam_score_selected_prompt,0.642114,0.782058,cuda
sample_004,person,moderate,0,sam_oracle_best_prompt,0.642114,0.782058,cuda
sample_004,person,moderate,1,center_color,0.007606,0.015098,cpu
sample_004,person,moderate,1,robust_superpixel,0.008145,0.016158,cpu
sample_004,person,moderate,1,repaired_superpixel,0.013692,0.027015,cpu
sample_004,person,moderate,1,sam_noisy_prompt,0.121990,0.217453,cuda
sample_004,person,moderate,1,sam_repaired_prompt,0.020423,0.040028,cuda
sample_004,person,moderate,1,sam_score_selected_prompt,0.020423,0.040028,cuda
sample_004,person,moderate,1,sam_oracle_best_prompt,0.121990,0.217453,cuda
sample_005,sheep,clean,0,center_color,0.624553,0.768892,cpu
sample_005,sheep,clean,0,robust_superpixel,0.658396,0.794015,cpu
sample_005,sheep,clean,0,repaired_superpixel,0.745522,0.854211,cpu
sample_005,sheep,clean,0,sam_noisy_prompt,0.873784,0.932641,cuda
sample_005,sheep,clean,0,sam_repaired_prompt,0.872965,0.932174,cuda
sample_005,sheep,clean,0,sam_score_selected_prompt,0.872965,0.932174,cuda
sample_005,sheep,clean,0,sam_oracle_best_prompt,0.873784,0.932641,cuda
sample_005,sheep,mild,0,center_color,0.567213,0.723849,cpu
sample_005,sheep,mild,0,robust_superpixel,0.677458,0.807720,cpu
sample_005,sheep,mild,0,repaired_superpixel,0.760589,0.864017,cpu
sample_005,sheep,mild,0,sam_noisy_prompt,0.933279,0.965488,cuda
sample_005,sheep,mild,0,sam_repaired_prompt,0.924041,0.960521,cuda
sample_005,sheep,mild,0,sam_score_selected_prompt,0.933279,0.965488,cuda
sample_005,sheep,mild,0,sam_oracle_best_prompt,0.933279,0.965488,cuda
sample_005,sheep,mild,1,center_color,0.628531,0.771899,cpu
sample_005,sheep,mild,1,robust_superpixel,0.794706,0.885611,cpu
sample_005,sheep,mild,1,repaired_superpixel,0.684239,0.812520,cpu
sample_005,sheep,mild,1,sam_noisy_prompt,0.912794,0.954409,cuda
sample_005,sheep,mild,1,sam_repaired_prompt,0.915693,0.955991,cuda
sample_005,sheep,mild,1,sam_score_selected_prompt,0.912794,0.954409,cuda
sample_005,sheep,mild,1,sam_oracle_best_prompt,0.915693,0.955991,cuda
sample_005,sheep,moderate,0,center_color,0.000588,0.001174,cpu
sample_005,sheep,moderate,0,robust_superpixel,0.361973,0.531543,cpu
sample_005,sheep,moderate,0,repaired_superpixel,0.315065,0.479163,cpu
sample_005,sheep,moderate,0,sam_noisy_prompt,0.871253,0.931197,cuda
sample_005,sheep,moderate,0,sam_repaired_prompt,0.519642,0.683901,cuda
sample_005,sheep,moderate,0,sam_score_selected_prompt,0.519642,0.683901,cuda
sample_005,sheep,moderate,0,sam_oracle_best_prompt,0.871253,0.931197,cuda
sample_005,sheep,moderate,1,center_color,0.610766,0.758355,cpu
sample_005,sheep,moderate,1,robust_superpixel,0.829445,0.906772,cpu
sample_005,sheep,moderate,1,repaired_superpixel,0.736840,0.848483,cpu
sample_005,sheep,moderate,1,sam_noisy_prompt,0.938414,0.968229,cuda
sample_005,sheep,moderate,1,sam_repaired_prompt,0.945295,0.971878,cuda
sample_005,sheep,moderate,1,sam_score_selected_prompt,0.945295,0.971878,cuda
sample_005,sheep,moderate,1,sam_oracle_best_prompt,0.945295,0.971878,cuda
sample_006,tvmonitor,clean,0,center_color,0.316638,0.480980,cpu
sample_006,tvmonitor,clean,0,robust_superpixel,0.545205,0.705673,cpu
sample_006,tvmonitor,clean,0,repaired_superpixel,0.495179,0.662367,cpu
sample_006,tvmonitor,clean,0,sam_noisy_prompt,0.973765,0.986708,cuda
sample_006,tvmonitor,clean,0,sam_repaired_prompt,0.532503,0.694946,cuda
sample_006,tvmonitor,clean,0,sam_score_selected_prompt,0.532503,0.694946,cuda
sample_006,tvmonitor,clean,0,sam_oracle_best_prompt,0.973765,0.986708,cuda
sample_006,tvmonitor,mild,0,center_color,0.400990,0.572438,cpu
sample_006,tvmonitor,mild,0,robust_superpixel,0.513428,0.678497,cpu
sample_006,tvmonitor,mild,0,repaired_superpixel,0.509477,0.675038,cpu
sample_006,tvmonitor,mild,0,sam_noisy_prompt,0.975755,0.987729,cuda
sample_006,tvmonitor,mild,0,sam_repaired_prompt,0.535913,0.697843,cuda
sample_006,tvmonitor,mild,0,sam_score_selected_prompt,0.535913,0.697843,cuda
sample_006,tvmonitor,mild,0,sam_oracle_best_prompt,0.975755,0.987729,cuda
sample_006,tvmonitor,mild,1,center_color,0.541906,0.702904,cpu
sample_006,tvmonitor,mild,1,robust_superpixel,0.589682,0.741887,cpu
sample_006,tvmonitor,mild,1,repaired_superpixel,0.507257,0.673086,cpu
sample_006,tvmonitor,mild,1,sam_noisy_prompt,0.777912,0.875085,cuda
sample_006,tvmonitor,mild,1,sam_repaired_prompt,0.773890,0.872535,cuda
sample_006,tvmonitor,mild,1,sam_score_selected_prompt,0.777912,0.875085,cuda
sample_006,tvmonitor,mild,1,sam_oracle_best_prompt,0.777912,0.875085,cuda
sample_006,tvmonitor,moderate,0,center_color,0.259911,0.412586,cpu
sample_006,tvmonitor,moderate,0,robust_superpixel,0.347309,0.515559,cpu
sample_006,tvmonitor,moderate,0,repaired_superpixel,0.391795,0.563007,cpu
sample_006,tvmonitor,moderate,0,sam_noisy_prompt,0.513370,0.678446,cuda
sample_006,tvmonitor,moderate,0,sam_repaired_prompt,0.535640,0.697611,cuda
sample_006,tvmonitor,moderate,0,sam_score_selected_prompt,0.535640,0.697611,cuda
sample_006,tvmonitor,moderate,0,sam_oracle_best_prompt,0.535640,0.697611,cuda
sample_006,tvmonitor,moderate,1,center_color,0.404886,0.576397,cpu
sample_006,tvmonitor,moderate,1,robust_superpixel,0.425613,0.597095,cpu
sample_006,tvmonitor,moderate,1,repaired_superpixel,0.452769,0.623319,cpu
sample_006,tvmonitor,moderate,1,sam_noisy_prompt,0.527731,0.690869,cuda
sample_006,tvmonitor,moderate,1,sam_repaired_prompt,0.531335,0.693950,cuda
sample_006,tvmonitor,moderate,1,sam_score_selected_prompt,0.531335,0.693950,cuda
sample_006,tvmonitor,moderate,1,sam_oracle_best_prompt,0.531335,0.693950,cuda
sample_007,person,clean,0,center_color,0.313475,0.477321,cpu
sample_007,person,clean,0,robust_superpixel,0.395683,0.567010,cpu
sample_007,person,clean,0,repaired_superpixel,0.480039,0.648684,cpu
sample_007,person,clean,0,sam_noisy_prompt,0.822423,0.902560,cuda
sample_007,person,clean,0,sam_repaired_prompt,0.490923,0.658549,cuda
sample_007,person,clean,0,sam_score_selected_prompt,0.490923,0.658549,cuda
sample_007,person,clean,0,sam_oracle_best_prompt,0.822423,0.902560,cuda
sample_007,person,mild,0,center_color,0.579515,0.733788,cpu
sample_007,person,mild,0,robust_superpixel,0.554563,0.713464,cpu
sample_007,person,mild,0,repaired_superpixel,0.512036,0.677280,cpu
sample_007,person,mild,0,sam_noisy_prompt,0.437790,0.608976,cuda
sample_007,person,mild,0,sam_repaired_prompt,0.486717,0.654754,cuda
sample_007,person,mild,0,sam_score_selected_prompt,0.437790,0.608976,cuda
sample_007,person,mild,0,sam_oracle_best_prompt,0.486717,0.654754,cuda
sample_007,person,mild,1,center_color,0.167413,0.286810,cpu
sample_007,person,mild,1,robust_superpixel,0.365415,0.535244,cpu
sample_007,person,mild,1,repaired_superpixel,0.496307,0.663376,cpu
sample_007,person,mild,1,sam_noisy_prompt,0.356994,0.526154,cuda
sample_007,person,mild,1,sam_repaired_prompt,0.351406,0.520060,cuda
sample_007,person,mild,1,sam_score_selected_prompt,0.351406,0.520060,cuda
sample_007,person,mild,1,sam_oracle_best_prompt,0.356994,0.526154,cuda
sample_007,person,moderate,0,center_color,0.286709,0.445647,cpu
sample_007,person,moderate,0,robust_superpixel,0.311478,0.475002,cpu
sample_007,person,moderate,0,repaired_superpixel,0.269694,0.424817,cpu
sample_007,person,moderate,0,sam_noisy_prompt,0.224697,0.366943,cuda
sample_007,person,moderate,0,sam_repaired_prompt,0.000210,0.000420,cuda
sample_007,person,moderate,0,sam_score_selected_prompt,0.000210,0.000420,cuda
sample_007,person,moderate,0,sam_oracle_best_prompt,0.224697,0.366943,cuda
sample_007,person,moderate,1,center_color,0.540061,0.701350,cpu
sample_007,person,moderate,1,robust_superpixel,0.539661,0.701013,cpu
sample_007,person,moderate,1,repaired_superpixel,0.501955,0.668402,cpu
