sample_id,class_name,experiment,severity,condition,method,trial,iou,dice,sam_score,pred_pixels,target_pixels,device
sample_001,train,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.869772,0.930351,0.978777,46895,46861,cuda
sample_001,train,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.844311,0.915584,0.978022,43051,46861,cuda
sample_001,train,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.816430,0.898939,0.986586,47993,46861,cuda
sample_001,train,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.947181,0.972874,0.990473,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.816430,0.898939,0.986586,47993,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.816430,0.898939,0.986586,47993,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.816430,0.898939,0.978402,47993,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.816630,0.899060,0.978402,47720,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.819851,0.901009,0.975727,47895,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.947181,0.972874,0.990473,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.947181,0.972874,0.990473,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.947181,0.972874,0.984821,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.945742,0.972114,0.984821,48313,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.950426,0.974583,0.986485,47524,46861,cuda
sample_001,train,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.935050,0.966435,0.995539,48775,46861,cuda
sample_001,train,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.933831,0.965783,1.010545,48823,46861,cuda
sample_001,train,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.827036,0.905331,0.974882,43897,46861,cuda
sample_001,train,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.726291,0.841447,0.979399,41349,46861,cuda
sample_001,train,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.700774,0.824065,0.974449,37494,46861,cuda
sample_001,train,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.911849,0.953892,0.974636,50129,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.700774,0.824065,0.974449,37494,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.688277,0.815360,0.977902,38397,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.700774,0.824065,0.968347,37494,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.699656,0.823291,0.968347,37566,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.721202,0.838021,0.976586,39070,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.911849,0.953892,0.974636,50129,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.942957,0.970641,0.985685,47796,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.915064,0.955648,0.977915,50001,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.921051,0.958903,0.977915,49618,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.942957,0.970641,0.985685,47796,46861,cuda
sample_002,boat,modality,clean,point_only,sam_vit_b,0,0.610073,0.757821,0.929840,5385,8233,cuda
sample_002,boat,modality,clean,box_only,sam_vit_b,0,0.829118,0.906577,0.951220,9557,8233,cuda
sample_002,boat,modality,clean,point_box,sam_vit_b,0,0.730807,0.844470,0.947223,11043,8233,cuda
sample_002,boat,noise_decomposition,clean,clean,sam_single_prompt,0,0.730807,0.844470,0.947223,11043,8233,cuda
sample_002,boat,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.713921,0.833085,0.948688,11244,8233,cuda
sample_002,boat,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.765394,0.867108,0.962720,10489,8233,cuda
sample_002,boat,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.839018,0.912463,0.926774,7566,8233,cuda
sample_002,boat,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.860400,0.924963,0.933583,8492,8233,cuda
sample_002,boat,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.140142,0.245833,0.893662,24041,8233,cuda
sample_002,boat,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.304229,0.466526,0.908109,21716,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.140142,0.245833,0.893662,24041,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.802328,0.890324,0.958230,9884,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.559432,0.717481,0.890703,5267,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.589632,0.741847,0.890703,5627,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.870024,0.930495,0.924018,8442,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.304229,0.466526,0.908109,21716,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.289639,0.449178,0.939828,18055,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.304229,0.466526,0.897362,21716,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.362956,0.532602,0.897362,21290,8233,cuda
sample_002,boat,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.843888,0.915335,0.922241,8102,8233,cuda
sample_002,boat,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.890435,0.942043,0.919918,8883,8233,cuda
sample_002,boat,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.851021,0.919515,0.947349,8180,8233,cuda
sample_002,boat,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.852686,0.920486,0.965846,7563,8233,cuda
sample_002,boat,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.023521,0.045961,0.938676,22924,8233,cuda
sample_002,boat,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.000000,0.000000,0.937831,16677,8233,cuda
sample_002,boat,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.844624,0.915768,0.975031,7533,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.000000,0.000000,0.937831,16677,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.000000,0.000000,0.985167,17807,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.000000,0.000000,0.912240,14383,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.000000,0.000000,0.912240,14408,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.000121,0.000243,0.952701,16502,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.844624,0.915768,0.975031,7533,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.852955,0.920643,0.981444,7569,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.844912,0.915938,0.966170,7541,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.847968,0.917730,0.966170,7593,8233,cuda
sample_002,boat,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.852955,0.920643,0.981444,7569,8233,cuda
sample_003,train,modality,clean,point_only,sam_vit_b,0,0.017077,0.033580,0.888606,1259,73727,cuda
sample_003,train,modality,clean,box_only,sam_vit_b,0,0.946178,0.972345,0.997670,73624,73727,cuda
sample_003,train,modality,clean,point_box,sam_vit_b,0,0.951961,0.975390,0.989265,72715,73727,cuda
sample_003,train,noise_decomposition,clean,clean,sam_single_prompt,0,0.951961,0.975390,0.989265,72715,73727,cuda
sample_003,train,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.953441,0.976166,0.991858,72910,73727,cuda
sample_003,train,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.949087,0.973879,0.989681,73355,73727,cuda
sample_003,train,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.941733,0.969992,0.987016,73569,73727,cuda
sample_003,train,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.924551,0.960797,0.990454,74067,73727,cuda
sample_003,train,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.916851,0.956622,0.978237,69826,73727,cuda
sample_003,train,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.928412,0.962877,0.984353,75050,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.916851,0.956622,0.978237,69826,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.871694,0.931449,0.981307,64477,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.916851,0.956622,0.975465,69826,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.919065,0.957826,0.975465,69796,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.939260,0.968679,0.978928,71382,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.928412,0.962877,0.984353,75050,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.939389,0.968747,0.985162,73492,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.927304,0.962281,0.978180,74872,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.925298,0.961200,0.978180,74829,73727,cuda
sample_003,train,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.939389,0.968747,0.985162,73492,73727,cuda
sample_003,train,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.948947,0.973805,0.990036,73360,73727,cuda
sample_003,train,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.951645,0.975223,0.987260,72701,73727,cuda
sample_003,train,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.680071,0.809574,0.965007,50148,73727,cuda
sample_003,train,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.545934,0.706284,0.985159,41796,73727,cuda
sample_003,train,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.842832,0.914714,0.971619,68324,73727,cuda
sample_003,train,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.916372,0.956361,0.967579,74169,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.842832,0.914714,0.971619,68324,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.884520,0.938722,0.975658,66078,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.842832,0.914714,0.971800,68324,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.860466,0.925001,0.971800,69341,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.884520,0.938722,0.975658,66078,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.916372,0.956361,0.967579,74169,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.910106,0.952938,0.986310,68255,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.916372,0.956361,0.972130,74169,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.904740,0.949988,0.972130,73037,73727,cuda
sample_003,train,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.916372,0.956361,0.967579,74169,73727,cuda
sample_004,person,modality,clean,point_only,sam_vit_b,0,0.020948,0.041036,0.801849,895,42725,cuda
sample_004,person,modality,clean,box_only,sam_vit_b,0,0.829163,0.906604,0.956549,46893,42725,cuda
sample_004,person,modality,clean,point_box,sam_vit_b,0,0.670492,0.802748,0.925432,49842,42725,cuda
sample_004,person,noise_decomposition,clean,clean,sam_single_prompt,0,0.670492,0.802748,0.925432,49842,42725,cuda
sample_004,person,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.787231,0.880950,0.939633,43491,42725,cuda
sample_004,person,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.774109,0.872674,0.925132,43353,42725,cuda
sample_004,person,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.313623,0.477493,0.797471,44694,42725,cuda
sample_004,person,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.686389,0.814034,0.958798,34687,42725,cuda
sample_004,person,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.645018,0.784208,0.870602,46662,42725,cuda
sample_004,person,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.659010,0.794461,0.915516,56867,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.645018,0.784208,0.870602,46662,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.797328,0.887237,0.927615,43651,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.645018,0.784208,0.870894,46662,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.670576,0.802808,0.870894,47152,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.797328,0.887237,0.927615,43651,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.659010,0.794461,0.915516,56867,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.533686,0.695952,0.962574,71872,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.597074,0.747710,0.928384,57394,42725,cuda
sample_004,person,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.620926,0.766137,0.928384,60421,42725,cuda
