hypothesis,comparison,num_pairs,mean_delta_iou,ci95_low,ci95_high,p_raw,p_holm,holm_threshold,reject_holm_005
H1,robust_superpixel - center_color,1449,0.06318970600414078,0.057812420565907525,0.06863941595928226,1.999960000799984e-05,5.9998800023999525e-05,0.016666666666666666,True
H2,sam_score_select - sam_single_noisy,1449,0.0203627746031746,0.014513782981366454,0.026142443077984783,1.999960000799984e-05,5.9998800023999525e-05,0.025,True
H3,point_noise IoU - box_noise IoU,1449,0.10673059213250517,0.09956268274327122,0.11376960425810902,1.999960000799984e-05,5.9998800023999525e-05,0.05,True
