method,num_samples,num_failures,mean_iou,mean_dice,median_latency_ms
center_color,1449,0,0.5417182753623189,0.6768377370600415,13.4486
grabcut_point_box,1449,8,0.6877666894409938,0.7781594982746721,416.8482
robust_no_color_seed,1449,0,0.46451211111111107,0.5989231249137336,189.5788
robust_no_spatial_prior,1449,0,0.583839536231884,0.7162299137336093,205.0426
robust_single_box,1449,0,0.6049351090407178,0.7351123719806764,193.3635
robust_superpixel,1449,0,0.6049079813664596,0.7351216107660455,204.1696
