method,num_samples,num_success,num_failures,mean_iou_success_only,mean_dice_success_only,mean_iou_failure_zero,mean_dice_failure_zero,median_latency_ms,p95_latency_ms,total_seconds,peak_rss_mb,workers
center_color,1449,1449,0,0.540365403036577,0.675270674258109,0.540365403036577,0.675270674258109,13.0722,16.62448,3.8773184000019683,934.421875,8
grabcut_point_box,1449,1441,8,0.6897194767522554,0.7794301235253296,0.6859115017253278,0.775126851621808,421.1899,1491.4356,107.15332290000515,1300.5078125,8
robust_superpixel,1449,1449,0,0.6043606218081435,0.7344772491373361,0.6043606218081435,0.7344772491373361,199.835,222.42085999999998,37.02364559999842,1077.234375,8
robust_no_color_seed,1449,1449,0,0.4633062657004831,0.5977253747412008,0.4633062657004831,0.5977253747412008,187.0017,210.52821999999992,34.82901370000036,1080.765625,8
robust_no_spatial_prior,1449,1449,0,0.5827059365079366,0.7151879482401656,0.5827059365079366,0.7151879482401656,197.5572,222.79608,36.918945400000666,1083.6484375,8
robust_single_box,1449,1449,0,0.6043230193236715,0.7344479102829539,0.6043230193236715,0.7344479102829539,188.5424,212.08624,35.28260720000253,1084.7890625,8
